@letter,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16
M,2,0,2,1,1,7,6,10,0,7,8,8,6,6,0,8
O,3,8,4,6,3,8,8,7,5,7,6,9,2,8,3,8
S,1,3,2,2,1,8,6,6,5,7,7,9,2,10,8,7
U,4,7,5,5,4,9,7,7,5,7,6,8,3,8,4,6
P,3,6,5,4,4,6,9,5,4,9,7,4,1,10,3,7
K,4,7,6,5,3,8,6,2,7,10,3,9,3,8,4,10
D,1,0,2,1,1,6,7,8,6,7,6,6,2,8,3,8
S,5,6,6,6,6,8,9,4,5,7,7,8,4,10,9,10
O,5,9,5,7,4,7,7,8,5,10,7,8,3,8,3,8
L,5,5,5,8,1,0,0,6,6,0,1,5,0,8,0,8
P,5,9,7,6,4,9,8,4,6,12,4,4,2,9,4,9
X,4,10,7,7,4,9,7,0,8,9,4,7,3,8,3,8
R,4,7,6,5,4,10,7,4,6,10,3,6,3,7,4,10
G,4,11,5,8,4,7,7,7,6,6,5,9,2,7,5,11
H,5,8,8,6,5,10,7,4,6,10,3,6,3,8,3,8
V,2,1,4,2,1,7,12,2,2,6,11,9,4,11,2,7
D,4,7,5,5,5,7,7,5,7,7,6,6,6,8,3,7
H,7,9,6,4,3,11,7,4,5,8,3,5,5,9,4,8
L,3,7,5,5,4,7,6,7,5,6,6,8,3,8,4,10
Y,1,3,2,1,1,7,10,1,5,7,11,8,1,11,1,8
E,1,0,1,0,1,5,8,5,7,7,6,12,0,8,6,9
Z,7,14,7,8,4,10,4,3,8,12,4,10,3,9,4,11
G,6,8,8,7,8,7,10,6,2,7,7,8,6,11,7,8
R,3,10,4,7,3,6,9,11,5,7,5,8,3,8,5,10
W,4,9,6,7,3,5,8,5,1,7,8,8,8,9,0,8
R,5,11,7,8,5,8,9,4,6,8,4,9,4,6,6,11
S,4,8,6,6,7,6,9,3,3,8,7,6,3,8,11,1
H,3,6,4,4,3,7,8,7,5,8,5,7,3,7,5,11
G,2,1,3,2,1,8,6,6,6,6,5,9,1,7,5,10
Q,6,10,8,8,7,8,4,8,4,6,6,8,4,7,6,9
X,7,9,8,5,4,8,7,3,8,12,4,7,4,9,4,8
B,10,15,10,8,8,9,7,4,5,9,5,7,7,5,9,8
J,3,7,5,5,2,8,4,6,4,14,8,14,1,6,1,7
D,9,15,8,8,6,8,6,3,7,10,5,7,6,8,9,6
U,5,8,6,6,3,5,8,7,9,10,11,9,3,9,1,7
D,6,10,8,7,5,9,7,5,8,10,3,5,3,8,4,8
C,2,7,3,5,1,5,7,6,8,6,6,12,1,7,4,9
G,4,8,6,6,3,8,8,8,8,6,7,8,2,7,6,11
F,2,4,4,3,1,5,12,3,5,13,7,3,1,10,1,6
S,3,7,4,5,2,8,7,5,9,5,6,8,0,8,9,7
I,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8
E,2,3,3,1,1,6,8,2,7,11,7,8,1,8,4,8
B,2,1,3,1,2,7,7,5,5,7,6,6,1,8,5,9
V,6,11,9,8,5,7,11,3,2,6,11,9,3,10,3,9
W,5,9,7,7,11,10,7,5,2,7,7,8,13,10,3,6
W,6,9,6,7,7,4,9,2,3,9,8,8,7,11,2,6
C,4,7,5,5,5,5,7,4,4,7,6,10,6,9,5,9
M,5,8,7,6,6,9,7,6,5,6,7,4,10,7,4,5
L,2,4,4,3,2,7,3,2,7,8,2,10,0,7,2,8
I,2,9,2,7,2,7,7,0,9,7,6,8,0,8,3,8
Z,2,4,4,3,2,7,8,2,9,11,7,7,1,8,6,6
Q,3,3,4,5,3,8,7,7,3,5,6,9,3,8,5,9
S,5,8,7,6,8,8,5,4,4,9,6,10,4,8,9,9
M,9,10,13,8,10,3,8,4,5,10,11,11,12,8,6,6
K,6,11,8,8,6,4,7,2,7,10,10,12,3,8,4,7
D,7,12,7,7,5,9,6,4,7,10,5,7,6,8,8,6
H,11,14,10,8,5,8,7,4,5,9,6,7,7,10,5,9
E,4,10,4,7,3,3,8,6,11,7,5,15,0,8,7,7
Y,5,7,7,11,10,8,9,3,2,5,8,10,6,13,9,9
V,4,6,5,4,2,4,12,3,3,10,11,7,2,10,1,8
U,4,5,5,4,2,4,8,5,7,10,9,8,3,9,2,6
E,3,2,4,4,3,7,7,5,8,7,5,9,2,8,6,10
C,2,6,3,4,1,4,7,7,9,7,6,11,1,9,4,9
L,3,8,5,6,6,7,7,3,5,6,7,10,6,11,6,6
P,2,4,4,3,2,6,10,3,4,12,5,3,1,10,2,8
F,4,9,7,7,7,5,8,2,4,10,8,7,8,10,4,4
J,3,5,4,8,2,11,3,11,3,12,8,13,1,6,0,8
S,5,5,6,7,3,7,6,6,10,5,6,10,0,9,9,8
G,4,4,5,6,2,8,5,7,9,8,4,12,1,9,5,10
Y,2,1,3,3,1,8,11,1,7,6,11,7,1,11,2,7
C,4,7,4,5,2,4,7,6,7,9,8,15,1,8,3,8
F,3,7,3,5,1,1,11,4,6,11,11,9,0,8,2,6
A,2,5,4,4,3,9,8,3,4,6,7,8,4,8,4,6
Z,5,8,7,6,6,9,7,5,4,7,5,7,4,8,10,5
Q,1,0,1,1,0,8,7,6,2,6,6,8,2,8,2,8
N,10,13,11,7,5,7,7,3,5,13,9,9,6,8,0,8
G,3,8,5,6,4,8,7,7,5,6,6,9,2,7,5,11
W,6,7,6,5,5,6,11,4,2,8,7,6,9,12,4,5
G,5,7,5,5,3,6,7,6,6,9,7,10,2,8,4,9
E,4,8,6,6,4,7,7,3,8,11,7,9,3,8,5,8
E,2,5,4,3,2,6,8,2,7,11,7,9,2,8,4,8
B,4,8,6,6,8,8,7,5,3,7,7,7,6,10,8,9
E,3,8,5,6,5,7,7,3,5,6,7,10,4,10,8,8
Q,3,5,5,4,3,6,4,4,4,5,4,7,3,5,5,7
Z,3,10,4,8,5,8,7,5,9,7,5,7,1,7,7,8
Y,7,13,6,7,4,8,7,4,6,9,6,5,3,9,5,5
N,3,7,4,5,3,7,8,6,5,7,6,7,5,8,1,6
F,5,9,7,7,4,4,11,1,5,13,7,5,1,10,1,7
U,5,10,6,8,2,7,5,13,6,8,15,8,3,9,0,8
X,5,10,8,8,6,10,7,3,7,7,6,6,6,12,8,9
J,2,5,5,3,2,9,5,4,5,14,6,12,1,6,0,7
G,4,9,6,7,6,7,5,6,3,8,6,11,4,8,7,8
P,4,6,6,9,8,6,13,5,1,10,8,5,4,11,4,9
F,3,5,6,4,2,6,11,2,6,13,7,4,1,10,2,7
U,1,0,2,0,0,7,6,10,4,7,13,8,2,10,0,8
A,3,3,5,4,1,7,5,3,0,7,1,8,2,7,2,8
L,4,9,5,7,3,4,4,5,10,2,0,6,0,6,2,5
C,5,9,6,7,2,6,7,7,12,7,6,15,1,8,4,9
R,3,7,4,5,4,7,8,5,6,6,5,7,3,7,5,8
R,3,4,5,2,3,9,8,3,5,9,4,6,2,6,4,10
G,3,3,4,4,2,7,8,7,6,6,6,7,2,7,6,11
T,3,3,4,2,1,7,12,2,7,7,11,8,1,11,1,7
Z,1,0,1,1,0,7,7,2,9,9,6,8,0,8,6,8
K,2,1,2,2,2,5,7,3,6,7,6,10,3,8,4,10
W,4,9,6,7,3,9,8,4,1,7,8,8,8,9,0,8
F,1,0,1,0,0,3,11,4,3,11,9,7,0,8,2,8
M,6,11,9,8,7,7,6,6,6,6,7,7,10,8,3,6
G,3,1,4,2,2,7,7,5,6,7,6,9,3,7,4,8
C,4,9,6,7,6,6,6,3,4,8,7,11,6,9,3,9
N,1,0,2,1,1,7,7,11,1,5,6,8,4,8,0,8
Z,3,8,4,6,3,7,8,3,12,8,6,8,0,8,7,7
E,3,5,5,4,3,8,7,2,8,11,5,8,2,8,4,10
R,10,15,10,8,8,6,8,3,6,8,4,9,8,4,7,6
R,5,10,6,8,7,8,6,6,4,8,6,8,7,7,6,11
F,4,9,4,4,3,7,9,2,4,11,6,5,3,10,6,6
E,3,7,4,5,4,7,7,5,8,6,5,10,2,8,5,9
H,5,10,6,7,3,7,6,15,1,7,8,8,3,8,0,8
P,7,9,9,7,5,8,11,7,4,11,4,3,2,10,4,8
T,6,11,6,8,5,4,12,3,6,12,10,5,2,12,2,4
C,6,11,7,8,5,5,7,7,9,8,6,13,2,11,5,8
O,7,11,8,8,6,8,6,8,6,10,4,8,4,9,5,6
D,5,8,5,6,4,6,7,9,8,7,7,6,2,8,3,8
G,3,9,5,6,4,6,6,6,6,7,5,12,2,9,4,9
U,2,3,3,2,1,5,8,5,6,10,9,9,3,10,2,6
A,3,9,5,6,3,12,2,4,2,11,2,9,3,7,3,9
B,3,5,5,4,5,7,8,4,4,7,6,8,6,9,7,8
E,6,9,8,7,8,8,10,6,3,6,6,9,5,7,7,9
Z,1,3,2,2,1,7,7,1,8,11,6,9,1,9,5,8
E,4,9,3,4,2,8,7,3,4,10,5,8,3,9,8,11
B,4,8,5,6,5,10,7,3,6,10,4,6,2,8,4,10
Z,1,0,2,1,0,7,7,2,10,8,6,8,0,8,6,8
J,6,9,8,10,7,7,8,4,6,7,7,7,4,8,10,10
K,7,9,10,6,7,9,7,1,6,10,3,8,6,7,5,10
W,5,8,7,6,3,10,8,5,1,7,8,8,8,9,0,8
D,5,10,8,8,5,9,6,3,7,11,4,6,3,8,3,9
P,3,2,3,4,3,6,9,4,4,9,8,4,4,10,3,7
D,2,1,3,3,2,7,7,6,6,6,5,5,2,8,3,7
A,3,2,5,4,2,8,2,2,2,7,2,8,2,7,2,7
X,4,10,7,8,6,6,8,2,6,7,6,10,4,6,7,7
E,4,10,6,8,4,7,7,3,8,11,7,9,3,8,5,8
Q,4,9,5,8,3,8,9,8,6,6,9,9,3,7,6,10
B,5,8,6,6,6,8,8,7,6,7,6,5,3,7,7,9
O,3,7,3,5,2,8,7,8,5,9,4,6,3,8,3,8
S,5,8,6,7,7,8,8,4,5,7,7,8,5,10,10,9
E,4,8,6,6,6,6,8,6,8,6,4,11,3,8,6,9
N,7,9,6,4,2,7,10,4,5,4,5,10,5,9,2,7
J,4,10,6,8,5,7,8,4,5,8,7,7,3,7,4,6
O,2,4,3,2,2,7,7,7,4,9,6,8,2,8,3,8
W,7,9,9,7,6,7,8,4,1,7,9,8,8,10,0,8
T,8,11,8,8,7,6,11,3,7,11,9,5,5,11,4,3
K,8,10,8,5,3,10,7,4,7,8,1,5,5,7,4,9
C,5,10,7,8,8,7,5,4,4,8,6,11,7,9,4,8
X,3,4,4,6,1,7,7,4,4,7,6,8,3,8,4,8
C,3,6,4,4,1,5,6,6,9,7,5,11,1,9,4,8
U,5,8,5,6,3,3,8,4,6,10,10,9,3,9,1,7
S,4,5,5,7,3,7,6,6,9,5,6,10,0,9,9,8
G,5,7,6,6,7,7,9,5,2,7,7,8,6,11,7,8
W,6,9,8,7,7,8,4,6,2,7,6,7,7,7,6,5
N,7,9,10,7,5,10,8,3,6,11,1,3,5,9,1,7
P,6,6,6,8,3,3,14,8,1,11,6,3,1,10,4,8
Z,4,10,6,8,4,6,9,2,9,11,8,7,2,10,7,6
H,5,7,8,5,5,7,7,3,6,10,7,8,3,9,3,7
O,7,10,7,8,7,7,8,8,4,10,7,8,3,8,3,8
Z,2,1,2,1,1,7,7,3,11,8,6,8,0,8,6,8
Y,4,11,6,8,3,10,10,1,3,6,12,8,1,11,0,8
O,6,9,8,8,7,6,6,5,4,6,3,6,4,9,7,7
V,5,11,8,8,4,6,11,2,4,8,12,9,3,10,2,8
Z,4,7,6,5,4,6,9,2,9,11,8,6,1,8,6,6
C,2,5,3,3,1,4,8,5,6,11,9,12,1,9,2,7
R,5,9,7,6,7,9,7,6,3,8,5,6,5,6,8,10
D,5,11,5,8,3,6,7,11,10,7,6,6,3,8,4,8
Q,5,7,6,9,6,8,7,6,3,8,7,9,3,9,6,9
D,3,4,5,3,3,8,7,6,6,9,5,6,3,8,4,9
T,4,5,5,4,2,5,12,3,7,11,10,4,1,11,2,4
G,7,13,6,7,3,9,6,5,6,11,4,8,5,7,5,8
A,4,8,6,6,4,8,3,2,2,6,2,7,2,6,2,7
W,8,12,8,6,4,2,9,2,2,10,11,9,8,10,0,7
T,5,7,5,5,3,6,11,3,6,11,9,5,3,11,3,4
X,4,10,6,8,4,7,7,4,9,6,6,8,3,8,7,7
Z,2,5,3,4,2,7,7,5,9,6,6,8,1,8,7,8
Y,4,10,6,7,1,9,11,3,2,5,13,8,1,11,0,8
O,10,14,7,8,4,6,8,5,4,7,4,6,5,9,5,7
S,2,8,3,6,2,8,8,6,9,5,6,7,0,8,9,8
M,6,9,10,7,12,7,5,3,2,7,5,8,15,7,4,6
A,4,9,6,6,2,9,5,3,1,8,1,8,2,7,2,8
